symbol,rsi,avg,lcdf,long,sma_ml,fut_open,long_rsi
AAAAAAA,-19999,-9999999,-99999999,-99999999,-99999999,-99999999,-9999999
GOOS,2.4716876416159996,0.02408607,-99.0,-0.0661894067910793,-99.0,0.36700734,-99.9995540794111
FFIE,-10.486471802229552,-78.6132,0.0,-76.76072420773806,-0.8,-77.609955,-98.12944814385402
DXC,-41.66689167354486,6.8353863,-99.0,10.16799011604001,-99.0,8.271093,-99.87854715122543
ARW,-3.870716291025575,0.58978957,-99,-0.13038001366277802,-99,0.6149468,-99.99990503340928
UNM,17.037619320137942,-0.0029014305,-99,0.2753346756267999,-99,0.055767946,-99.99988891338849
GME,-6.194917893148499,0.5821267,-99,-13.429033918345379,-99,0.7611081,-99.92681233606284
IBM,-4.466942797392493,0.3458795,-99.0,0.18574233556518727,-99.0,0.4511136,-99.99662784589142
BAC,54.778418815833405,0.09146711,-1.0,-0.08359783977596544,1.0,0.20418963,-99.9114152107746
SDRL,-6.910350830886186,0.4612671,-99.0,-0.8881372844630488,-99.0,0.5648624,-99.99983914021401
SE,37.626709798250054,-0.27805647,-0.8,6.468910588941487,0.0,-0.44176704,-99.82347833242453
ADVM,3.7061386741968474,-8.020817,-99.0,11.28014314870601,-99.0,-7.553495,-99.82132951156643
BMY,-3.258432254685064,0.65165883,-0.8,0.8211900850642871,0.6,1.6312186,-99.98807172594121
BAH,7.528671827794006,0.70687985,-99.0,-1.2414706091065155,-99.0,0.7840244,-100.00008261655185
AAPL,3.41835296243893,-0.010315122,-0.8,-0.75954154183612,0.8,0.022549974,-99.98952810540356
WMT,17.148706874578345,-1.6555779,0.0,-1.4203886646636994,0.4,-1.8810334,-99.96873193219892
ACGL,-5.944751566468637,1.1268806,-0.8,0.5730522327904702,-1.0,1.555228,-100.00008793098158
CSCO,12.323970223802002,0.030491449,-0.6,0.2962153210836909,-0.2,0.008090103,-99.94829718979128
MMM,-8.34917036114104,-0.013869324,0.2,-0.2766579799371767,-0.2,0.009855117,-99.9991382687029
GOOS,0.8473858291340194,0.21653809,-99.0,-0.33175302155859904,-99.0,0.15827298,-99.99989322504415
FFIE,-10.573446672895177,-78.56747,0.0,-77.36530780792236,-1.0,-73.40377,-97.16103120505461
DXC,-44.397453991861624,9.40768,-99.0,8.194383169521242,-99.0,7.17712,-99.90850311986259
ARW,-4.012132166311302,0.5642241,-99,0.4487728476660934,-99,0.551838,-99.99975022840437
UNM,17.072446768946183,-0.024874546,-99,0.12818966720018155,-99,0.052261747,-99.99991192242177
GME,-23.507810318066934,0.42382511,-99,-20.77561873423902,-99,0.7199345,-99.99961345179752
BAH,14.018922206006778,0.6130362,-99.0,0.5933064372599671,-99.0,0.7038757,-99.99988936850082
AAPL,22.314231824595897,0.0037067025,-1.0,0.45016623818501866,1.0,-0.015820714,-99.93972436503644
WMT,12.094268668782911,-1.8856136,-0.2,-0.7143356627967384,0.4,-1.7999204,-99.96191324900784
ACGL,-3.013584508717032,1.5246209,-1.0,1.7244694905988407,-1.0,1.3844907,-99.9106641297349
CSCO,21.132182035848757,0.041738383,-0.6,0.13586264778760124,0.0,0.04380366,-99.97922890840117
MMM,-5.3770689224183155,-0.003126816,0.4,-0.3308131527403102,-0.4,0.016327765,-99.9852978202039
IBM,-4.566842785488391,0.15807901,-99.0,-0.1760193881783838,-99.0,0.4858335,-99.99649332893362
BAC,43.56073200637076,0.11044735,-1.0,0.3349957257482612,1.0,0.18085249,-99.98668381313115
SDRL,-5.997140677918518,0.5911196,-99.0,0.11237193450466584,-99.0,0.5868266,-100.00000451907327
